ID(0)	Property(1)	原文(2)	統制ラベル(3)	対象ID(4)	英語ラベル(5)	絶対時間(6)	Type(7)	担当
	関連する文							古崎
326	対象文	ワトソンは見えなかった			Watson could not see anything.			古崎
	Type							古崎
	情報源	〇〇の発言			Remark by Watson			古崎
	hasPredicate	見えなかった	not見る		notSee			古崎
	主語/Who（誰が）	ワトソン			Watson			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T03		古崎
	What（何を）				snake			古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
327	対象文	ホームズがマッチを擦った瞬間に（同時）、ホームズとワトソンは（低く澄んだ）口笛を聞いた。			At the moment Holmes rubbed the match, Holmes and Watson heard a low and clear whistle.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	聞いた			hear			古崎
	主語/Who（誰が）	ホームズANDワトソン			Holmes AND Watson			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）	ホームズがマッチを擦った瞬間		323		1883-04-02T03		古崎
	What（何を）	口笛			whistle			古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
328	対象文	ワトソンは、ホームズが何を打ち据えるのかわからなかった			Watson did not know what Holmes could set off.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	わからなかった			notSee			古崎
	主語/Who（誰が）	ワトソン			Watson			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）			324		1883-04-02T03		古崎
	What（何を）	ホームズが何を打ち据えるのか			snake			古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	329				古崎
329	対象文	ワトソンは、ひどく青ざめ、恐怖と嫌悪にゆがんだホームズの顔を見た			Watson looked at the face of Holmes terribly pale, distorted by fear and disgust.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	見た			see			古崎
	主語/Who（誰が）	ワトソン			Watson			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T03		古崎
	What（何を）	ひどく青ざめ、恐怖と嫌悪にゆがんだホームズの顔		330	face of Holmes		Object	古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	331				古崎
330	対象文	ひどく青ざめ、恐怖と嫌悪にゆがんだホームズの顔			Hellous pale face, the face of Holmes distorted by fear and disgust.			古崎
	Type							古崎
	情報源							古崎
	hasProperty				beScared			古崎
	主語/Who（誰が）	ホームズの顔			face of Holmes			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T03		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）	ひどく青ざめた						古崎
	その他の修飾	恐怖と嫌悪にゆがんだ						古崎
	関連する文							古崎
331	対象文	ホームズは叩くのをやめる			Holmes stop tapping.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	やめる			stop			古崎
	主語/Who（誰が）	ホームズ			Holmes			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T03		古崎
	What（何を）	叩く		324	hitting			古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	332	then			古崎
332	対象文	そのあと，ホームズは通風口の方を見る			After that, Holmes looks at the ventilator.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	見る			see			古崎
	主語/Who（誰が）	ホームズ			Holmes			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T03		古崎
	What（何を）	通風口			ventilator			古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	333	then			古崎
333	対象文	そのとき、ホームズとワトソンンは（この世のものと思えぬ）悲鳴を聞く			At that time, Holmes and Watson listen to the unearthly scream.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	聞く			hear			古崎
	主語/Who（誰が）	ホームズとワトソンン			Holmes AND Watson			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	（この世のものと思えぬ）悲鳴	悲鳴		scream		Object	古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	334				古崎
334	対象文	その悲鳴は徐々に大きくなる			That scream gradually gets bigger.			古崎
	Type							古崎
	情報源							古崎
	hasProperty	大きくなる			louder			古崎
	主語/Who（誰が）	悲鳴			scream			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）	徐々に			gradually			古崎
	その他の修飾							古崎
	関連する文		then	335				古崎
335	対象文	その悲鳴は、しゃがれ声，苦しみ，恐れ，怒り，断末魔の叫びとなる			That scream will be a crouching voice, suffering, fear, anger, cry of a fierce devil.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	equalTo						古崎
	主語/Who（誰が）	悲鳴			scream			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）	しゃがれ声			crooked voice AND suffering AND fear AND anger			古崎
	What（何を）	苦しみ						古崎
	Why（なぜ）	恐れ						古崎
	How（どのように）	怒り						古崎
	その他の修飾	断末魔の叫び						古崎
	関連する文		then	336	then			古崎
336	対象文	ホームズとワトソンは立ちすくむ			Holmes and Watson stand up.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	立ちすくむ			standUp			古崎
	主語/Who（誰が）	ホームズANDワトソン			Holmes AND Watson			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	337				古崎
337	対象文	悲鳴が消える			Scream disappears.			古崎
	Type							古崎
	情報源							古崎
	hasProperty	消える			disappeared			古崎
	主語/Who（誰が）	悲鳴			scream			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
338	対象文	ホームズは「すべてが終わった知らせだ。」と言う			Holmes says 'Everything is over!'.			古崎
	Type							古崎
	情報源	〇〇の発言			Remark by Holmes			古崎
	hasPredicate	言う			end			古崎
	主語/Who（誰が）	ホームズ			everything			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）			337		1883-04-02T04		古崎
	What（何を）	「すべてが終わった知らせだ。」						古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	339				古崎
339	対象文	ホームズは「この結末が最善なのかもしれない」と言う			Holmes says 'This ending may be the best'.			古崎
	Type							古崎
	情報源	〇〇の発言			Remark by Holmes			古崎
	hasPredicate	equalTo			equalTo			古崎
	主語/Who（誰が）	ホームズ			result			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	「この結末が最善なのかもしれない」			best result		Object	古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	340				古崎
340	対象文	ワトソンは拳銃を持つ			Watson has a handgun.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	持つ			have			古崎
	主語/Who（誰が）	ワトソン			Watson			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	拳銃			handgun			古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	341				古崎
341	対象文	ホームズとワトソンは，ロイロット博士の部屋へ行く			Holmes and Watson go to the bedroom of Roylott.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	行く			go			古崎
	主語/Who（誰が）	ホームズANDワトソン			Holmes AND Watson			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）	ロイロット博士の部屋			bedroom of Roylott			古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	343AND344AND345AND346AND347AND348AND349AND350				古崎
342	対象文							古崎
	Type							古崎
	情報源							古崎
	hasPredicate							古崎
	主語/Who（誰が）							古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）							古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
343	対象文	卓上には、ランタンがあった			There was a lantern on the desk.			古崎
	Type							古崎
	情報源	事実			fact			古崎
	hasPredicate	あった	ある		exist			古崎
	主語/Who（誰が）	ランタン			lanthanum		Object	古崎
	Whom（誰に）							古崎
	on	卓上			desk of bedroom of Roylott		Object	古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
344	対象文	ランタンは、半分窓が開いていた			Lantern window was half open.			古崎
	Type							古崎
	情報源	事実						古崎
	hasPredicate	開いていた	開く		open			古崎
	主語/Who（誰が）	ランタン			lanthanum		Object	古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	窓			window		Object	古崎
	Why（なぜ）							古崎
	How（どのように）	半分			half			古崎
	その他の修飾							古崎
	関連する文							古崎
345	対象文	金庫があった			There was a safe.			古崎
	Type							古崎
	情報源	事実						古崎
	hasPredicate	あった	ある		exist			古崎
	主語/Who（誰が）	金庫			safe			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
346	対象文	金庫の戸が開いていた			The safe door was open.			古崎
	Type							古崎
	情報源	事実						古崎
	hasProperty	開いていた			opened			古崎
	主語/Who（誰が）	金庫の戸			door of safe		Object	古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	開く						古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
347	対象文	ロイロット博士が、椅子に腰をかけていた			Roylott was sitting on the chair.			古崎
	Type							古崎
	情報源	事実						古崎
	hasPredicate	腰をかけていた	座る		sit			古崎
	主語/Who（誰が）	ロイロット博士			Roylott			古崎
	Whom（誰に）							古崎
	Where（どこで）	椅子に	椅子		chair			古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
348	対象文	ロイロット博士が、化粧着を着ていた			Roylott was wearing a make-up cloth.			古崎
	Type							古崎
	情報源	事実						古崎
	hasPredicate	着ていた	着る		have			古崎
	主語/Who（誰が）	ロイロット博士			Roylott			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	化粧着			decorative wear		Object	古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
349	対象文	ロイロット博士はスリッパをつけていた			Roylott was wearing slippers.			古崎
	Type							古崎
	情報源	事実						古崎
	hasPredicate	つけていた	履く		have			古崎
	主語/Who（誰が）	ロイロット博士			Roylott			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）				slippers		Object	古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
350	対象文	ロイロット博士の膝の上に、鞭があった			There was a whip on the knee of Roylott.			古崎
	Type							古崎
	情報源	事実						古崎
	hasPredicate	あった	ある		exist			古崎
	主語/Who（誰が）	鞭			dog whip			古崎
	Whom（誰に）							古崎
	on	ロイロット博士の膝の上			knee of Roylott		Object	古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		at the same time	353				古崎
351	対象文	鞭は短い柄に長いひものついたもの			Whip has a short handle with a long string.			古崎
	Type							古崎
	情報源	事実						古崎
	hasProperty				strapped			古崎
	主語/Who（誰が）	鞭			dog whip			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）	長いひものついた						古崎
	その他の修飾	短い柄						古崎
	関連する文							古崎
352	対象文	鞭は昼間この部屋で見たもの			The whip was found in this bedroom during the daytime.			古崎
	Type							古崎
	情報源	事実						古崎
	hasPredicate	見た	見る		see			古崎
	主語/Who（誰が）	ホームズ			Holmes			古崎
	Whom（誰に）							古崎
	Where（どこで）	この部屋	ロイロット博士の部屋		bedroom of Roylott			古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）	昼間			daytime	1883-04-01T14		古崎
	What（何を）	鞭			dog whip			古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
353	対象文	ロイロット博士のあごは上向きだった			Roylott's jaw was upwards.			古崎
	Type							古崎
	情報源	事実						古崎
	hasPredicate	上向きだった			see			古崎
	主語/Who（誰が）	ロイロット博士あご			Roylott			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）				ceiling		Object	古崎
	Why（なぜ）							古崎
	How（どのように）	上向きだった	上向き					古崎
	その他の修飾							古崎
	関連する文		at the same time	354				古崎
354	対象文	ロイロット博士は、目を強く拓いていた			Roylott opened his eyes strongly.			古崎
	Type							古崎
	情報源	事実						古崎
	hasPredicate	拓いていた	開く		open			古崎
	主語/Who（誰が）	ロイロット博士			Roylott			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	目			eyes		Object	古崎
	Why（なぜ）							古崎
	How（どのように）	強く			widely			古崎
	その他の修飾							古崎
	関連する文		at the same time	355				古崎
355	対象文	ロイロット博士は、天井の隅をみていた						古崎
	Type							古崎
	情報源	事実						古崎
	hasPredicate	みていた	見る					古崎
	主語/Who（誰が）	ロイロット博士						古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	天井の隅						古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		at the same time	356				古崎
356	対象文	褐色の斑《ぶち》がついた黄色い紐がグリムズビ・ロイロット博士の頭（首）をきつくしめつけていた			A yellow string with a brown spot was tightly tightening the neck of Roylott.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	きつくしめつけていた	締める		tighten			古崎
	主語/Who（誰が）	褐色の斑《ぶち》がついた黄色い紐	紐		band			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	ロイロット博士の頭（首）			neck of Roylott		Object	古崎
	Why（なぜ）							古崎
	How（どのように）	きつく			strongly			古崎
	その他の修飾							古崎
	関連する文		at the same time	357				古崎
357	対象文	褐色の斑がついた黄色い紐			Yellow string is with brown spots.			古崎
	Type							古崎
	情報源							古崎
	hasProperty				speckled			古崎
	主語/Who（誰が）	紐			band		Object	古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	褐色の斑						古崎
	Why（なぜ）							古崎
	How（どのように）	黄色い			brown AND yellow			古崎
	その他の修飾							古崎
	関連する文							古崎
358	対象文	我々が入ったときには、博士は死んでいた。口も聞かず、身動きもなかった。			When we entered, Roylott was dead. He did not speak, nor moved.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	死んでいた			die			古崎
	主語/Who（誰が）	博士	ロイロット博士		Roylott			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）	我々が入ったとき		341		1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	359				古崎
359	対象文	ホームズは「まだらのひも」といった			Holmes said 'a speckled band'.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	言う			say			古崎
	主語/Who（誰が）	ホームズ			Holmes			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	「まだらのひも」			speckled band		Object	古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	360				古崎
360	対象文	ワトソンはロイロット博士に近づいた			Watson approached to Roylott.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	近づいた			go			古崎
	主語/Who（誰が）	ワトソン			Watson			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）	ロイロット博士						古崎
	To（どこへ）				Roylott			古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	361	then			古崎
361	対象文	博士の頭にいた蛇が頭を上げた			The snake that was at the neck of Roylott lifted his head.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	頭を上げた	動く		see			古崎
	主語/Who（誰が）	蛇			snake			古崎
	Whom（誰に）							古崎
	Where（どこで）	博士の頭						古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）				Watson			古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	362				古崎
362	対象文	ホームズは「毒沼蛇」といった			Holmes said 'a poisonous ponder'.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	言う			say			古崎
	主語/Who（誰が）	ホームズ			Holmes			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	「毒沼蛇」			poisonous snake		Animal	古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
363	対象文	その蛇はインドでもっとも恐ろしい蛇だった			This snake was the most terrible one in India.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	equalTo	である		equalTo			古崎
	主語/Who（誰が）	その蛇は			sname			古崎
	Whom（誰に）				poisonous snake			古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	インドでもっとも恐ろしい蛇			the most terrible snake of India		Animal	古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文							古崎
364	対象文	蛇は博士を噛んだ			The snake bit Roylott.			古崎
	Type							古崎
	情報源	〇〇の考え	ホームズ		Idea of Holmes			古崎
	hasPredicate	噛む			bite			古崎
	主語/Who（誰が）	蛇			snake			古崎
	Whom（誰に）	博士	ロイロット博士		Roylott			古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	365	then			古崎
365	対象文	その結果，博士は十秒で死んだ			As a result, Roylott died in ten seconds.			古崎
	Type							古崎
	情報源	〇〇の考え	ホームズ		Idea of Holmes			古崎
	hasPredicate	死んだ			die			古崎
	主語/Who（誰が）	博士	ロイロット博士		Roylott			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）							古崎
	Why（なぜ）							古崎
	How（どのように）	十秒で			in ten seconds		AbstractTime	古崎
	その他の修飾							古崎
	関連する文							古崎
366	対象文	ホームズは博士の持つ鞭を持った			Holmes had a whip of Roylott.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	持った			take			古崎
	主語/Who（誰が）	ホームズ			Holmes			古崎
	Whom（誰に）							古崎
	Where（どこで）							古崎
	From（どこから）							古崎
	To（どこへ）							古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	博士の持つ鞭			dog whip of Roylott			古崎
	Why（なぜ）							古崎
	How（どのように）							古崎
	その他の修飾							古崎
	関連する文		then	367				古崎
367	対象文	ホームズは鞭を使って蛇を金庫に閉じ込めた			Holmes locked the snake in the safe with a whip.			古崎
	Type							古崎
	情報源							古崎
	hasPredicate	閉じ込めた			put			古崎
	主語/Who（誰が）	ホームズ			Holmes			古崎
	Whom（誰に）							古崎
	Where（どこで）	金庫						古崎
	From（どこから）							古崎
	To（どこへ）				safe			古崎
	When（いつ）					1883-04-02T04		古崎
	What（何を）	蛇			snake			古崎
	Why（なぜ）							古崎
	How（どのように）	鞭を使って			dog whip			古崎
	その他の修飾							古崎
	関連する文							古崎
368	対象文	屋敷にはロマがいた			There was Roma on the mansion.			川村
	Type							川村
	情報源							川村
	hasPredicate	存在する	いる		exist			川村
	主語/Who（誰が）	ロマ			Roma			川村
	Whom（誰に）							川村
	Where（どこで）	ロイロットの屋敷			garden of Roylott			川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）				death day of Roylott	1883-04-01T23	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
369	対象文	ジュリアはSpeckled Bandと言った			Julia said a speckled band.			川村
	Type							川村
	情報源							川村
	hasPredicate	言う			say			川村
	主語/Who（誰が）	ジュリア			Julia			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）				death day of Julia	1881-12-02T00	AbstractTime	川村
	What（何を）	Speckled Band			speckled band			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
370	対象文	危険は窓や扉から入ったわけではない			The suspect does not come from windows and doors.			川村
	Type							川村
	情報源							川村
	hasPredicate	not入る			notCome			川村
	主語/Who（誰が）	危険			suspect		Object	川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）	窓 OR 扉			window of bedroom of Julia OR door of bedroom of Julia		Object	川村
	To（どこへ）				bedroom of Julia			川村
	When（いつ）				death day of Roylott	1883-04-01T23	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
371	対象文	ホームズは通風孔綱を注意した			Holmes noted a ventilation hole.			川村
	Type							川村
	情報源							川村
	hasPredicate	注意する			warn			川村
	主語/Who（誰が）	ホームズ			Holmes			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）				death day of Roylott	1883-04-01T15	AbstractTime	川村
	What（何を）	通風孔網			ventilator			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
372	対象文	綱は寝台に垂れていた			The rope was hanging on the bed.			川村
	Type							川村
	情報源							川村
	hasPredicate	垂れている			exit			川村
	主語/Who（誰が）	綱			rope of bell			川村
	Whom（誰に）							川村
	Where（どこで）				bedroom of Julia			川村
	From（どこから）							川村
	To（どこへ）	寝台			bed			川村
	When（いつ）				death day of Roylott	1883-04-01T15	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
373	対象文	綱は飾りだった			The rope was a fake.			川村
	Type							川村
	情報源							川村
	hasProperty	飾り			beFake			川村
	主語/Who（誰が）	綱			rope of bell			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
	When（いつ）				death day of Roylott	1883-04-01T15	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
374	対象文	寝台は固定されていた			The bed was fixed.			川村
	Type							川村
	情報源							川村
	hasProperty	固定される			beFixed			川村
	主語/Who（誰が）	寝台			bed			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）	床			floor			川村
	When（いつ）				death day of Roylott	1883-04-01T15	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
375	対象文	綱は寝台への橋渡しだだと考えた			Holmes thought that the rope was a bridge to the bed.			川村
	Type							川村
	情報源	〇〇の考え	ホームズ		Idea of Holmes			川村
	hasPredicate	橋渡しする			bridge			川村
	主語/Who（誰が）	綱			rope of bell			川村
	Whom（誰に）							川村
	Where（どこで）				bedroom of Julia			川村
	From（どこから）	通風孔			ventilator			川村
	To（どこへ）	寝台			bed			川村
	When（いつ）				death day of Roylott	1883-04-01T15	AbstractTime	川村
	What（何を）							川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
376	対象文	ホームズは蛇を思った			Holmes thought of a snake.			川村
	Type							川村
	情報源	〇〇の考え	ホームズ		Idea of Holmes			川村
	hasPredicate	使う			come			川村
	主語/Who（誰が）	蛇			snake			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）				ventilator			川村
	To（どこへ）				bed			川村
	When（いつ）				death day of Roylott	1883-04-01T15	AbstractTime	川村
	What（何を）	綱						川村
	Why（なぜ）							川村
	How（どのように）				rope of bell			川村
	その他の修飾							川村
	関連する文							川村
377	対象文	博士はインドから動物を取り寄せていた			Roylott ordered animals from India.			川村
	Type							川村
	情報源							川村
	hasPredicate	取り寄せる			buy			川村
	主語/Who（誰が）	博士			Roylott			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）	インド			India		Place	川村
	To（どこへ）							川村
	When（いつ）				death day of Roylott	1883-04-01T15	AbstractTime	川村
	What（何を）	蛇			snake			川村
	Why（なぜ）							川村
	How（どのように）							川村
	その他の修飾							川村
	関連する文							川村
378	対象文	毒物には検出されないものがある			Some toxic substances are not detected.			川村
	Type							川村
	情報源							川村
	hasProperty	検出されない			notFind			川村
	主語/Who（誰が）	毒物			coroner			川村
	Whom（誰に）							川村
	Where（どこで）							川村
	From（どこから）							川村
	To（どこへ）							川村
